Id,Name,Updated at,Completed?,Accessible,Bench,Curb cut,Lighting,Mounting,Mounting direction,Schedule holder,Shelter,Sidewalk,Sign,Trash,Bolt on base,Bus pull out exists?,Extend pole?,Has power?,New anchor?,New pole?,Solar lighting?,Straighten pole?,System map exists?,Mounting clearance after,Mounting clearance before,Created at,Updated at,Completed?,Completed at
1589,Garage Road (Out),2017-03-08 07:57:13 -0500,false,When necessary,"",No curb,None,PVTA pole,Away from street,On pole,"",None,Flag stop,"",false,false,false,false,true,true,false,false,false,84,"","",2017-03-08 07:57:13 -0500,false,""
1619,Goten Restaurant,2017-06-13 11:44:10 -0400,true,Not recommended,"",No curb,None,PVTA pole,"","","",None,Needs attention,"",false,false,false,false,false,false,false,false,false,"",84,"",2017-06-13 11:44:10 -0400,true,2017-06-13 11:44:10 -0400
1683,GRC,2017-03-08 09:45:04 -0500,false,When necessary,PVTA,Within 20',Within 20',PVTA pole,"",In shelter,PVTA,"More than 36""",Missing sign,Other,false,true,false,false,false,false,false,false,false,"","","",2017-03-08 09:45:04 -0500,false,""
1905,Integrative Learning Center,2017-08-01 10:43:29 -0400,true,When necessary,Other,Within 20',Within 20',PVTA pole,Towards street,"",Building,"More than 36""",Flag stop,Other,false,true,false,false,false,true,false,false,false,"",84,"",2017-08-01 10:43:29 -0400,true,2017-08-01 10:43:29 -0400
2013,Laurenitis Farm Stand (In),2017-03-22 15:18:35 -0400,true,Not recommended,"",No curb,None,PVTA pole,Away from street,"","",None,Flag stop,"",false,false,false,false,true,true,false,false,false,84,"","",2017-03-22 15:18:35 -0400,true,2017-03-22 15:18:35 -0400
2015,Laurenitis Farm Stand (Out),2017-03-22 15:18:28 -0400,true,Not recommended,"",No curb,None,PVTA pole,Away from street,"","",None,Flag stop,"",false,false,false,false,true,true,false,false,false,84,"","",2017-03-22 15:18:28 -0400,true,2017-03-22 15:18:28 -0400
2779,Memorial Drive (In),2017-06-08 09:47:04 -0400,true,"","",No curb,None,PVTA pole,"",On pole,"",None,"","",false,false,false,false,false,false,false,false,false,"","","",2017-06-08 09:47:04 -0400,true,2017-06-08 09:47:04 -0400
2781,Memorial Drive (Out),2017-06-01 16:04:33 -0400,true,When necessary,"",Within 20',20' - 50',PVTA pole,"",On pole,"","Less than 36""",Needs attention,"",false,false,false,false,false,false,false,false,false,"","","",2017-06-01 16:04:33 -0400,true,2017-06-01 16:04:33 -0400
2845,Morrill Science Center,2017-03-08 07:41:00 -0500,false,"",Other,No curb cut,Within 20',PVTA pole,"",In shelter,PVTA,"More than 36""",Needs attention,Other,false,true,false,true,false,false,false,false,false,"","","",2017-03-08 07:41:00 -0500,false,""
2861,Mullins Center (N),2017-03-08 09:58:59 -0500,false,When necessary,Other,No curb cut,Within 20',PVTA pole,"",On pole,Other,"More than 36""",Needs attention,Other,false,true,false,false,false,false,false,false,false,"",69,"",2017-03-08 09:58:59 -0500,false,""
2915,North Amherst (In),2017-03-22 15:18:51 -0400,true,Not recommended,"",Within 20',20' - 50',PVTA pole,Away from street,On pole,"",None,Flag stop,Municipal,false,false,false,false,true,true,false,false,false,84,"","",2017-03-22 15:18:51 -0400,true,2017-03-22 15:18:51 -0400
2917,North Amherst (Out),2017-03-22 15:18:46 -0400,true,Not recommended,"",Within 20',None,PVTA pole,Away from street,On pole,"",None,Flag stop,"",false,false,false,false,true,true,false,false,false,84,"","",2017-03-22 15:18:46 -0400,true,2017-03-22 15:18:46 -0400
2925,North Village,2017-08-01 10:47:30 -0400,true,When necessary,"",Within 20',Within 20',"","","",PVTA,"More than 36""",Missing sign,"",false,true,false,false,true,true,false,false,false,84,"","",2017-08-01 10:47:30 -0400,true,2017-08-01 10:47:30 -0400
3225,Pioneer Valley Apts.,2017-03-22 15:17:50 -0400,true,Not recommended,"",No curb,None,PVTA pole,Away from street,On pole,"",None,Flag stop,"",false,false,false,false,true,true,false,false,false,84,"","",2017-03-22 15:17:50 -0400,true,2017-03-22 15:17:50 -0400
3357,Plumtree Road (In),2017-03-08 08:45:30 -0500,false,When necessary,"",No curb cut,None,PVTA pole,"",On pole,"",None,Needs attention,"",false,false,false,false,false,false,true,false,false,"",94,"",2017-03-08 08:45:30 -0500,false,""
3359,Plumtree Road (Out),2017-03-22 15:19:13 -0400,true,Not recommended,"",No curb,None,PVTA pole,Away from street,On pole,"",None,Flag stop,"",false,false,false,false,true,true,false,false,false,84,"","",2017-03-22 15:19:13 -0400,true,2017-03-22 15:19:13 -0400
3373,Pray Street (In),"",false,"","",Within 20',Within 20',PVTA pole,"",On pole,PVTA,"More than 36""","",Municipal,"",false,false,false,false,false,false,false,false,"","","","",false,""
3375,Pray Street (Out),2017-03-24 10:13:54 -0400,false,When necessary,"",No curb cut,"",PVTA pole,"",On pole,PVTA,"More than 36""",Needs attention,Municipal,false,false,false,false,false,false,true,false,false,"","","",2017-03-24 10:13:54 -0400,false,""
3689,School of Education,2017-03-08 07:40:03 -0500,false,"","",No curb cut,20' - 50',PVTA pole,"",On pole,"","More than 36""",Needs attention,"",false,true,false,false,false,false,false,false,false,"","","",2017-03-08 07:40:03 -0500,false,""
3727,Silver Lane,2017-03-08 08:28:45 -0500,false,Not recommended,"",No curb,20' - 50',Other pole,Away from street,On pole,"",None,Flag stop,"",false,false,false,false,false,false,false,false,false,"",45,"",2017-03-08 08:28:45 -0500,false,""
3783,Southpoint,2017-06-08 09:46:30 -0400,true,"",PVTA,No curb cut,Within 20',PVTA pole,"",On pole,PVTA,"More than 36""","",Other,false,false,false,false,false,false,false,false,false,"","","",2017-06-08 09:46:30 -0400,true,2017-06-08 09:46:30 -0400
3953,Squire Village (In),2017-03-22 15:20:09 -0400,true,When necessary,PVTA,Within 20',None,PVTA pole,Away from street,In shelter,PVTA,"More than 36""",Flag stop,Other,false,true,false,false,true,true,false,false,false,84,"","",2017-03-22 15:20:09 -0400,true,2017-03-22 15:20:09 -0400
4145,Studio Arts Building,2017-03-08 07:27:37 -0500,false,"",Other,Within 20',Within 20',PVTA pole,"",In shelter,PVTA,"More than 36""",Missing sign,Other,false,true,false,false,false,false,false,false,false,"","","",2017-03-08 07:27:37 -0500,false,""
4153,Sugarloaf Estates,2017-03-08 08:28:58 -0500,false,When necessary,Other,No curb cut,Within 20',Other pole,"",On pole,Other,None,Needs attention,Other,false,false,false,false,false,false,false,false,false,"",39,"",2017-03-08 08:28:58 -0500,false,""
4233,Sunderland Center,2017-03-08 08:29:54 -0500,false,When necessary,"",No curb,Within 20',PVTA pole,"",On pole,"","More than 36""",Needs attention,"",false,true,false,false,false,false,false,false,false,"",84,"",2017-03-08 08:29:54 -0500,false,""
4257,The Boulders,"",false,"",PVTA,No curb cut,Within 20',PVTA pole,"",On pole,PVTA,"More than 36""","","","",false,false,false,false,false,false,false,false,"","","","",false,""
